Routing tables

Internet6:
Destination                             Gateway                                 Flags               Netif Expire
default                                 fe80::1%en0                             UGcIg                 en0       
default                                 fe80::%utun2                            UGcIg               utun2       
default                                 fe80::%utun3                            UGcIg               utun3       
default                                 fe80::%utun4                            UGcIg               utun4       
default                                 fe80::%utun5                            UGcIg               utun5       
default                                 fe80::%utun6                            UGcIg               utun6       
default                                 fe80::%utun7                            UGcIg               utun7       
default                                 fe80::%utun8                            UGcIg               utun8       
::1                                     ::1                                     UHL                   lo0       
fe80::%lo0/64                           fe80::1%lo0                             UcI                   lo0       
fe80::1%lo0                             link#1                                  UHLI                  lo0       
fe80::%en0/64                           link#13                                 UCI                   en0       
fe80::1%en0                             2c:55:d3:fe:ae:dc                       UHLWIir               en0       
fe80::45:d912:f168:ec06%en0             b2:2b:f7:18:9c:c4                       UHLWIi                en0       
fe80::d7:6748:6f42:b17e%en0             6c:6e:7:d:93:10                         UHLWI                 en0       
fe80::ef:df48:3067:c3e9%en0             f4:d4:88:7f:77:9d                       UHLI                  lo0       
fe80::464:5be6:26fe:c38a%en0            60:3e:5f:33:bc:88                       UHLWI                 en0       
fe80::85b:64c3:1827:1746%en0            70:72:fe:f3:5a:62                       UHLWI                 en0       
fe80::14d7:7478:dca5:bb0e%en0           70:72:fe:f3:41:99                       UHLWI                 en0       
fe80::1801:34a3:cb8f:8a61%en0           ea:d9:da:94:39:84                       UHLWIi                en0       
fe80::1c1c:f4d3:16e5:8af3%en0           cc:8:8d:51:e2:94                        UHLWI                 en0       
